index,text,true_label,pred_xlmr,conf_xlmr,xlmr_probs,pred_wangchan,conf_wangchan,error_category,analysis_note
10,สตาร์ทอัพอัปเดตรบบแนะนำ รุ่นใหม่ (24 ส.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยเพิ่มความแม่นยำ. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป.,SciTech,SciTech,0.9982,"[0.0009, 0.0008, 0.9982]",SciTech,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
11,คณะกรรมการนโยบายคงไว้ความเสี่ยงหนี้ครัวเรือน ท่ามกลางปัจจัยภายนอก (6 ส.ค. 2567) นักวิเคราะห์มองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด ตามกรอบนโยบาย. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย. ขณะที่นักลงทุนติดตามสัญญาณเพิ่มเติมเพื่อประเมินการตัดสินใจในไตรมาสถัดไป. ด้านผู้เชี่ยวชาญมองว่าแนวโน้มอาจเปลี่ยนได้ตามเงื่อนไขในระยะสั้น.,Business,Business,0.9984,"[0.0008, 0.9984, 0.0008]",Business,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
12,วงการจับตา ช่องโหว่ หลังผู้เชี่ยวชาญแนะนำ (17 ก.พ. 2567) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยลดความเสี่ยง. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป.,SciTech,SciTech,0.998,"[0.001, 0.001, 0.998]",SciTech,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
13,ตลาดจับตาภาษี หลังคณะกรรมาธิการออกมาตรการ (24 ต.ค. 2568) นักวิเคราะห์มองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด เพื่อป้องกันความเสี่ยง. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย.,Business,Business,0.9984,"[0.0008, 0.9984, 0.0009]",Business,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
14,วงการจับตา ข้อมูลภาพถ่ายโลก หลังศูนย์ควบคุมตรวจวัด (14 ธ.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยเพื่อการสื่อสาร. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. ทั้งนี้ ภาพรวมยังไม่ชัดเจน และอาจต้องติดตามความคืบหน้าเพิ่มเติม.,SciTech,SciTech,0.9981,"[0.001, 0.0009, 0.9981]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
15,คณะเจ้าภาพย้ำถ้อยแถลงร่วมระหว่างหารือที่ภูมิภาคยุทธศาสตร์ (22 ก.ค. 2567) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน. รายงานยังกล่าวถึงประเด็น ราคาพลังงาน ที่อาจเกี่ยวข้องในทางอ้อม.,World,World,0.9984,"[0.9984, 0.0007, 0.001]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
16,ผู้เชี่ยวชาญตรวจพบมาตรการป้องกัน ตั้งเป้าเพิ่มประสิทธิภาพ (2 ส.ค. 2567) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยลดความเสี่ยง. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย. รายงานยังกล่าวถึงประเด็น กฎระเบียบ ที่อาจเกี่ยวข้องในทางอ้อม.,SciTech,SciTech,0.9982,"[0.001, 0.0009, 0.9982]",SciTech,0.9982,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
17,ผู้สังเกตการณ์ประเมินการเฝ้าระวังที่ภูมิภาคยุทธศาสตร์ (16 มิ.ย. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม.,World,World,0.9983,"[0.9983, 0.0007, 0.001]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
18,นักพัฒนาเปิดตัวสมาร์ทดีไวซ์ ตั้งเป้าเพิ่มประสิทธิภาพ (22 ธ.ค. 2567) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยลดการใช้พลังงาน. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. ทั้งนี้ ภาพรวมยังไม่ชัดเจน และอาจต้องติดตามความคืบหน้าเพิ่มเติม.,SciTech,SciTech,0.9981,"[0.001, 0.0009, 0.9981]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
19,ตลาดจับตาการคุ้มครองผู้บริโภค หลังผู้ประกอบการประกาศ (12 เม.ย. 2568) นักวิเคราะมองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด เพื่อเพิ่มความโปร่งใส. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย.,Business,Business,0.9983,"[0.0008, 0.9983, 0.0009]",Business,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
20,เลขาธิการสรุปการประชุมสุดยอดที่เมืองเจ้าภาพ (3 ก.พ. 2567) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย.,World,World,0.9984,"[0.9984, 0.0007, 0.0009]",World,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
21,ตลาดจับตาสินค้าโภคภัณฑ์ หลังผู้ประกอบการปรับขึ้น (26 ก.พ. 2567) นักวิเคราะห์มองว่าแนวโน้มยังขึ้นกับข้อมูลเศรษฐกิจและทิศทางนโยบาย โดยสถานการณ์ล่าสุดสะท้อนความระมัดระวังของตลาด จากปัจจัยภูมิรัฐศาสตร์. ผู้ประกอบการบางส่วนคาดว่าความผันผวนจะทยอยลดลง หากปัจจัยพื้นฐานเริ่มมีเสถียรภาพและแรงกดดันต้นทุนคลี่คลาย.,Business,Business,0.9984,"[0.0007, 0.9984, 0.0009]",Business,0.9986,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both Business and Business. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
22,หน่วยงานด้านดิจิทัลตรวจพบมาตรการป้องกัน ตั้งเป้าเพิ่มประสิทธิภาพ (31 ธ.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยลดความเสี่ยง. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. ด้านผู้เชี่ยวชาญมองว่าแนวโน้มอาจเปลี่ยนได้ตามเงื่อนไขในระยะสั้น. รายงานยังกล่าวถึงประเด็น นโยบาย ที่อาจเกี่ยวข้องในทางอ้อม.,SciTech,SciTech,0.9982,"[0.0009, 0.0009, 0.9982]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
23,ผู้แทนการค้าย้ำภาษีนำเข้าระหว่างหารือที่ภูมิภาคอาเซียน (17 ก.ค. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน. อย่างไรก็ตาม ยังมีข้อมูลบางส่วนที่ต้องรอการยืนยันจากหลายฝ่าย. รายงานยังกล่าวถึงประเด็น ความปลอดภัยไซเบอร์ ที่อาจเกี่ยวข้องในทางอ้อม.,World,World,0.9983,"[0.9983, 0.0007, 0.001]",World,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
24,วงการจับตา ระบบติดตามสุขภาพ หลังมหาวิทยาลัยเผยผล (13 ม.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยมุ่งลดต้นทุนการรักษา. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป. ด้านผู้เชี่ยวชาญมองว่าแนวโน้มอาจเปลี่ยนได้ตามเงื่อนไขในระยะสั้น.,SciTech,SciTech,0.9978,"[0.0011, 0.0011, 0.9978]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
25,วงการจับตา ข้อมูลภาพถ่ายโลก หลังบริษัทดาวเทียมติดตาม (25 ก.ย. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยเพื่อการสื่อสาร. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป.,SciTech,SciTech,0.9981,"[0.001, 0.0009, 0.9981]",SciTech,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
26,เอเชียแปซิฟิกจับตาทูตพิเศษออกแถลงการณ์ข้อตกลงเบื้องต้น (11 ก.ย. 2567) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน.,World,World,0.9983,"[0.9983, 0.0007, 0.001]",World,0.9985,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
27,เมืองหลักจับตาอาสาสมัครขยายเวชภัณฑ์ (4 ก.ย. 2568) แหล่งข่าวระบุว่าการดำเนินการครั้งนี้มุ่งเน้นการประสานงานและติดตามผลในระยะถัดไป โดยย้ำกรอบความร่วมมือที่เป็นรูปธรรม. ผู้แทนหลายฝ่ายเห็นพ้องให้จัดทำแผนงานและกำหนดกรอบเวลาสำหรับข้อเสนอสำคัญ พร้อมประเมินผลกระทบในภาพรวม. ทั้งนี้ มีการคาดการณ์ว่าจะมีการหารือเพิ่มเติมในระดับคณะทำงาน เพื่อสรุปประเด็นที่ยังต้องการความชัดเจน.,World,World,0.9983,"[0.9983, 0.0007, 0.001]",World,0.9986,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both World and World. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
28,ผู้ผลิตชิปทดสอบแบตเตอรี่รุ่นใหม่ รุ่นใหม่ (16 ม.ค. 2568) รายงานระบุว่าเทคโนโลยีดังกล่าวอาจช่วยเพิ่มประสิทธิภาพการใช้งาน และขยายโอกาสการนำไปใช้จริงในหลายภาคส่วน โดยเพิ่มประสิทธิภาพ. ผู้เชี่ยวชาญแนะนำให้ติดตามผลทดสอบเพิ่มเติม เพื่อประเมินความเสถียร ความปลอดภัย และผลกระทบในภาพรวมก่อนขยายการใช้งาน. ทีมพัฒนาระบุว่าจะเผยรายละเอียดเชิงเทคนิคเพิ่มเติม และเปิดให้ทดสอบในวงจำกัดในระยะถัดไป.,SciTech,SciTech,0.9982,"[0.001, 0.0009, 0.9982]",SciTech,0.9984,Short headline / insufficient context,"This article contains content that can reasonably be interpreted as both SciTech and SciTech. The wording lacks strong domain-specific cues, making the topic semantically ambiguous even though the model predicts a label with high confidence."
